"Interval start","All packets","TCP errors"
0,131769,354
60,99917,277
120,195495,406
180,2.29755e+06,2657
240,1.32183e+06,739
300,785951,705
360,1.04009e+06,1058
420,445486,719
480,2.88684e+06,3250
540,451581,507
600,265470,370
660,1.10372e+06,739
720,1.47252e+06,800
780,3.72442e+06,3109
840,1.05447e+07,3910
900,639506,416
960,1.15992e+06,574
1020,1.02261e+06,680
1080,2.44353e+06,2645
1140,124979,240
1200,146299,265
1260,333912,292
1320,169883,245
1380,2.28561e+06,2583
1440,214822,208
1500,69992,180
1560,3.79692e+06,1622
1620,189143,251
1680,2.29182e+06,2716
1740,1.167e+06,702
1800,1.08801e+07,4515
1860,711854,630
1920,291059,550
1980,2.04336e+06,2349
2040,474546,503
2100,128064,335
2160,163661,313
2220,160416,314
2280,1.77819e+06,1325
2340,1.42229e+07,6772
2400,255488,576
2460,2.27668e+06,1330
2520,2.84558e+06,1736
2580,6.21893e+06,4968
2640,8.08975e+06,1456
2700,2.26233e+07,4492
2760,1.14845e+07,2952
2820,1.02205e+07,3800
2880,1.15307e+07,7296
2940,4.07709e+06,2162
3000,1.35457e+07,1574
3060,400110,574
3120,3.15916e+06,1144
3180,6.28357e+06,5148
3240,191714,442
3300,3.04599e+06,762
3360,990106,584
3420,338262,422
3480,4.44095e+06,4894
3540,347482,500
3600,2.72834e+06,1252
3660,154180,404
3720,241252,510
3780,5.04396e+06,5116
3840,214790,378
3900,277594,338
3960,701750,562
4020,3.96311e+07,5558
4080,1.37226e+08,21790
4140,4.93515e+06,1166
4200,1.36196e+07,2302
4260,6.41919e+06,1498
4320,1.94909e+07,4682
4380,2.50739e+07,8722
4440,2.64432e+06,1098
4500,2.44381e+07,5308
4560,1.15473e+07,2490
4620,2.16434e+07,4532
4680,2.29574e+07,9268
4740,2.6839e+07,5428
4800,4.65322e+06,1582
4860,2.6014e+07,5232
4920,7.57928e+06,4984
4980,7.38772e+06,6222
5040,1.72822e+07,6382
5100,3.42545e+06,818
5160,2.24715e+07,4916
5220,1.52158e+07,2938
5280,2.06446e+07,6448
5340,6.07415e+06,1530
5400,2.94103e+07,4352
5460,297284,390
5520,3.29176e+06,2302
5580,3.60015e+07,10254
5640,3.32046e+06,1522
5700,1.02769e+06,1380
5760,3.42134e+06,1638
5820,3.62936e+07,7024
5880,9.81712e+07,16056
5940,1.27979e+07,3154
6000,2.39595e+07,5898
6060,5.15293e+07,9648
6120,6.83712e+06,2712
6180,8.10085e+06,5616
6240,4.40856e+07,7260
6300,6.74393e+06,2768
6360,9.69855e+06,3598
6420,2.49423e+07,4410
6480,1.24567e+08,20698
6540,8.50875e+07,12134
6600,1.5069e+07,3050
6660,190496,478
6720,249476,580
6780,6.9919e+06,5742
6840,5.22183e+06,2748
6900,1.32868e+06,644
6960,351734,856
7020,3.3763e+06,984
7080,4.83418e+06,5102
7140,7.99543e+06,3154
7200,5.29617e+06,1410
7260,2.58016e+07,4560
7320,1.35416e+07,2776
7380,2.21691e+07,6662
7440,5.70633e+07,9848
7500,2.34446e+07,4256
7560,7.44565e+06,2960
7620,131532,226
7680,4.26233e+06,4970
7740,256746,332
7800,762796,524
7860,1.42692e+06,830
7920,2.68034e+06,1224
7980,5.71613e+06,4934
8040,1.46484e+07,2494
8100,2.76437e+06,1226
8160,1.06713e+06,578
8220,1.31574e+06,824
8280,4.57934e+06,4464
8340,1.22871e+07,4644
8400,391524,618
8460,749478,1022
8520,298898,666
8580,6.68854e+06,5890
8640,443124,528
8700,3.81712e+07,15618
8760,1.48194e+06,1300
8820,4.62543e+06,2452
8880,5.34435e+06,6028
8940,2.77935e+06,1114
9000,446854,702
9060,287918,622
9120,299284,646
9180,4.00289e+06,4526
9240,153294,428
9300,529650,766
9360,222454,526
9420,321000,578
9480,5.14124e+06,5550
9540,300614,558
9600,265360,364
9660,4.45874e+06,2140
9720,3.06438e+06,1556
9780,8.08755e+06,6134
9840,3.64083e+06,1858
9900,974844,1096
9960,2.60852e+06,1354
10020,2.70355e+06,1638
10080,4.6881e+06,5276
10140,679922,958
10200,489034,906
10260,258936,816
10320,1.54771e+06,1162
10380,2.0251e+07,10752
10440,245430,578
10500,1.14107e+06,1050
10560,687836,990
10620,348934,666
10680,4.14849e+06,4742
10740,266210,488
10800,167316,392
10860,187900,440
10920,1.09792e+07,4558
10980,5.84362e+06,5556
11040,183740,408
11100,335094,584
11160,9.51156e+06,3658
11220,295700,436
11280,4.34319e+06,4616
11340,687702,566
11400,1.56526e+06,796
11460,2.3572e+06,1126
11520,2.04472e+06,994
11580,6.55123e+06,5442
11640,2.6422e+06,1096
11700,5.69825e+06,2256
11760,2.94059e+06,1482
11820,1.50547e+06,1066
11880,5.1261e+06,4418
11940,401688,860
12000,403578,1054
12060,453954,1080
12120,611098,1242
12180,4.60051e+06,5530
12240,416820,994
12300,395760,794
12360,1.31009e+06,946
12420,1.31409e+06,910
12480,4.51291e+06,4202
12540,303346,608
12600,251702,350
12660,126134,384
12720,2.38043e+06,1936
12780,3.79215e+06,3576
12840,168660,408
12900,2.88389e+06,1584
12960,2.29688e+06,1440
13020,1.21034e+07,5784
13080,4.01978e+06,3918
13140,395572,998
13200,376054,840
13260,2.5596e+06,1796
13320,2.70526e+06,1742
13380,6.69371e+06,6282
13440,2.97767e+06,1714
13500,1.27099e+06,1384
13560,2.40914e+06,1548
13620,1.93455e+06,1520
13680,4.69179e+06,4416
13740,971856,996
13800,465874,898
13860,315236,700
13920,379244,972
13980,6.10634e+06,5856
14040,441952,850
14100,3.81401e+06,2714
14160,391006,828
14220,382062,930
14280,3.57727e+06,2872
14340,453908,1170
14400,353358,986
14460,589414,1222
14520,535654,1360
14580,4.36999e+06,5324
14640,849410,1526
14700,396646,1058
14760,496330,1252
14820,396428,898
14880,4.04363e+06,3682
14940,810572,964
15000,795218,1134
15060,2.49843e+06,1760
15120,2.80716e+07,11540
15180,6.67136e+06,5682
15240,2.79236e+06,1616
15300,1.39047e+06,1320
15360,2.51455e+06,1562
15420,1.62241e+06,1620
15480,5.26963e+06,5146
15540,184536,494
15600,492680,710
15660,201894,584
15720,102086,286
15780,4.11376e+06,4720
15840,276562,408
15900,266944,624
15960,943882,962
16020,365222,730
16080,3.95868e+06,4630
16140,314666,646
16200,781708,850
16260,214418,466
16320,4.66092e+06,2236
16380,4.07632e+06,4110
16440,1.70944e+06,1636
16500,734748,1194
16560,423952,926
16620,585562,1176
16680,4.54105e+06,5054
16740,320468,734
16800,212504,504
16860,1.84439e+06,1226
16920,2.6949e+06,1232
16980,6.16721e+06,4282
17040,2.7194e+06,1356
17100,1.49707e+06,1066
17160,2.79511e+06,1356
17220,1.53381e+06,1088
17280,6.34037e+06,5566
17340,176998,368
17400,270814,484
17460,196866,438
